name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost,listed_in(type)
The Coorg Food Co.,Yes,Yes,4.3,473,Kalyan Nagar,Casual Dining,South Indian,750,Buffet
Little Italy,Yes,Yes,4.2,405,Kalyan Nagar,Casual Dining,"Salad, Healthy Food, Italian, Juices, Mexican, Pizza",1500,Buffet
The Chef's Kitchen,Yes,No,3.8,311,Kalyan Nagar,Casual Dining,"Continental, North Indian, Chinese",800,Buffet
4 Seasons Restaurant,Yes,Yes,3.7,399,Kalyan Nagar,Casual Dining,"North Indian, Seafood, Middle Eastern, Chinese",1000,Buffet
Churrascaria Brazil,No,No,4.1,111,Kammanahalli,Casual Dining,European,1400,Buffet
Empire Restaurant,Yes,No,4.0,3128,Kammanahalli,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Buffet
Giselle Resto Cafe,Yes,Yes,4.1,840,Kammanahalli,Cafe,"Cafe, Italian, Pizza, Beverages, Desserts",800,Cafes
Truffles,No,No,4.5,1181,Kalyan Nagar,"Cafe, Casual Dining","Cafe, American, Burger, Steak",900,Cafes
Cafe Azzure,Yes,Yes,4.2,559,Kalyan Nagar,Cafe,"Cafe, Continental, Italian, Burger",1200,Cafes
The Chocolate Heaven,Yes,No,4.1,399,Kalyan Nagar,"Dessert Parlor, Cafe","Desserts, Cafe, Italian, Beverages",700,Cafes
Cafe Pink Pajamas,Yes,Yes,4.1,577,Kalyan Nagar,Cafe,"Cafe, Italian",700,Cafes
The Roastery,No,No,4.3,167,Kalyan Nagar,Cafe,Cafe,500,Cafes
The Pipe Rack,No,No,3.9,35,Kalyan Nagar,Casual Dining,Cafe,700,Cafes
Artville Cafe,No,No,3.8,92,Kalyan Nagar,Cafe,Cafe,700,Cafes
Eunoia,No,No,3.9,19,Kalyan Nagar,"Cafe, Bakery","Cafe, Continental, Bakery",450,Cafes
An Egg Story,No,No,4.0,241,Kalyan Nagar,Cafe,"Cafe, Continental, American, Italian",600,Cafes
RawStraw,Yes,No,4.1,172,Kalyan Nagar,Cafe,"Continental, Thai, Arabian, Mexican",700,Cafes
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.1,274,Kalyan Nagar,Cafe,"Cafe, Continental, North Indian",900,Cafes
Fragrant Kitchen,No,No,3.8,110,Kalyan Nagar,"Casual Dining, Cafe","North Indian, Chinese, Cafe, Desserts",700,Cafes
Brew Bakes Cafe,Yes,No,3.7,46,Kalyan Nagar,Cafe,Cafe,500,Cafes
Alter Ego D'Deli,Yes,No,3.8,140,Kalyan Nagar,Cafe,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",650,Cafes
Cafe Coffee Day,Yes,No,3.6,56,Kalyan Nagar,Cafe,Cafe,650,Cafes
Rasa Cafe,Yes,No,3.4,6,Kalyan Nagar,Cafe,"Cafe, American, Italian, Continental",600,Cafes
JamayCafe,No,No,2.8,16,Kalyan Nagar,Cafe,Cafe,600,Cafes
Cafe Qissa,No,No,3.3,5,Kalyan Nagar,Quick Bites,"Burger, Cafe, Drinks Only, Juices",100,Cafes
Chaai Resto,Yes,No,3.9,97,Kalyan Nagar,Cafe,"Cafe, Fast Food, Beverages",350,Cafes
Onesta,Yes,Yes,4.4,2589,Kammanahalli,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Cafes
Starbucks,No,No,3.8,15,Kammanahalli,Cafe,"Cafe, Desserts",700,Cafes
Coffee Mechanics,Yes,No,4.3,191,HBR Layout,Cafe,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",700,Cafes
Based On A True Story- Bistro,Yes,Yes,4.3,496,Kammanahalli,"Cafe, Quick Bites","Cafe, Burger, Italian, Desserts",800,Cafes
Hangout Cafe,Yes,No,3.6,14,HBR Layout,Cafe,"Cafe, Beverages",400,Cafes
Cafe Thulp,Yes,No,4.0,722,Kammanahalli,Cafe,"Cafe, Burger, Italian, Salad",1000,Cafes
Yomama!!,Yes,Yes,3.6,104,Kammanahalli,Cafe,"Continental, Burger, Cafe, Steak",800,Cafes
Al Amal Cafe,No,No,4.0,74,Kammanahalli,"Cafe, Quick Bites","Cafe, Fast Food",300,Cafes
18+ Ice Cafe,No,No,3.5,24,Kammanahalli,Cafe,"Cafe, Fast Food, Chinese, Beverages",550,Cafes
Maddy's Cafe,Yes,No,3.8,36,Kammanahalli,Cafe,"Cafe, Continental",500,Cafes
White Oak Cafe,No,No,2.6,26,Kammanahalli,Cafe,"Cafe, Fast Food",600,Cafes
Avista Cafe Pizzeria,Yes,Yes,4.5,506,Hennur,Cafe,"Cafe, Italian",650,Cafes
The Bridge Walk Cafe,Yes,No,3.7,44,Kengeri,Cafe,"Cafe, Continental",500,Cafes
Teapoy Mutiny,Yes,No,4.1,98,Hennur,Cafe,"Cafe, Continental, American, Beverages",500,Cafes
Patio - The Resto Cafe,Yes,No,3.7,73,Banaswadi,"Cafe, Quick Bites","Cafe, Continental, Chinese, Momos",500,Cafes
Mayonaise,Yes,No,3.8,44,Banaswadi,Cafe,"Cafe, Continental, Beverages",500,Cafes
Srinathjis,Yes,No,3.6,62,Banaswadi,"Casual Dining, Cafe","North Indian, Cafe, Chinese",550,Cafes
Cafe Get Hooked,Yes,No,3.6,17,Banaswadi,Cafe,Cafe,600,Cafes
Coffee@Arens,Yes,No,3.8,77,Banaswadi,Cafe,"Cafe, Fast Food",550,Cafes
T4U Cafe,No,No,3.6,17,Banaswadi,Quick Bites,"Chinese, Fast Food, Beverages",400,Cafes
Lava Kaffe,No,No,3.5,9,Banaswadi,Cafe,Cafe,350,Cafes
Urban Bakes & Cafe,No,No,3.7,33,Banaswadi,Cafe,"Cafe, Bakery",500,Cafes
eat.fit,Yes,No,4.4,287,Nagawara,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery
The Good Bowl,Yes,No,3.5,15,Kalyan Nagar,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery
Polar Bear,Yes,No,3.8,221,Kalyan Nagar,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
FreshMenu,Yes,No,3.6,531,North Bangalore,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery
Cafe 99 Kerala Mess,Yes,No,3.7,52,Kalyan Nagar,Quick Bites,"Kerala, North Indian, Chinese",350,Delivery
Hyderabad Biryani,Yes,No,3.3,106,Nagawara,Casual Dining,"Hyderabadi, Biryani, North Indian",800,Delivery
Chikpet Donne Biriyani Corner,Yes,No,3.7,7,Kalyan Nagar,Quick Bites,"Biryani, North Indian",300,Delivery
Vijayalakshmi Veg,Yes,No,3.9,29,Nagawara,Quick Bites,South Indian,200,Delivery
Al Amanah Cafe,Yes,No,4.4,1418,Kammanahalli,Quick Bites,"Middle Eastern, Fast Food, Rolls",300,Delivery
Punjabi Restaurant,Yes,No,3.3,238,RT Nagar,Quick Bites,"North Indian, Chinese",400,Delivery
Thalassery Restaurant,Yes,No,3.9,420,Kammanahalli,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",800,Delivery
Paul's Dum Biryani,Yes,No,4.0,148,HBR Layout,Delivery,"Biryani, Hyderabadi",400,Delivery
Imperio Restaurant,Yes,Yes,4.5,1228,Kalyan Nagar,Casual Dining,"North Indian, Mughlai, Biryani, South Indian, Beverages",800,Delivery
Berakah,Yes,No,4.0,253,Hennur,Casual Dining,"North Indian, Mughlai, Chinese",600,Delivery
KFC,Yes,No,3.7,205,Nagawara,Food Court,"Burger, Fast Food",400,Delivery
Matru Sagar,Yes,No,4.1,327,Kalyan Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Sikori,Yes,No,4.2,376,Kalyan Nagar,Quick Bites,"Street Food, North Indian",350,Delivery
Leon's Take Away,Yes,No,3.7,215,Banaswadi,"Takeaway, Delivery","Chinese, North Indian, Fast Food",450,Delivery
Nandhini,Yes,No,3.8,109,Banaswadi,"Casual Dining, Bar","Andhra, Chinese, North Indian",600,Delivery
Thalis Of India,Yes,No,3.6,24,Hennur,Delivery,"South Indian, North Indian, Beverages",500,Delivery
Pizza Hut,Yes,No,3.2,22,Nagawara,Quick Bites,Pizza,750,Delivery
Donne Biryani Kuteera,Yes,No,3.7,297,Banaswadi,Quick Bites,Biryani,200,Delivery
Marwari Basa,Yes,No,3.8,128,Nagawara,Quick Bites,"Rajasthani, North Indian",300,Delivery
Krispy Kreme,No,No,3.9,87,Kalyan Nagar,Dessert Parlor,"Desserts, Beverages",300,Delivery
Belgian Waffle Factory,Yes,No,4.8,265,Kalyan Nagar,Dessert Parlor,Desserts,400,Delivery
Subway,Yes,No,4.0,209,Kalyan Nagar,Quick Bites,"Salad, Fast Food",600,Delivery
New Krishna Sagar,Yes,No,4.0,51,HBR Layout,Casual Dining,"North Indian, Chinese, South Indian, Street Food",400,Delivery
Mangalore Lunch Home,Yes,No,3.1,33,HBR Layout,Quick Bites,"Mangalorean, Seafood",300,Delivery
Bhavani Restaurant,Yes,No,3.6,73,Banaswadi,Casual Dining,"Mughlai, North Indian, Chinese",500,Delivery
Adukkala Restaurant,Yes,No,3.2,123,Banaswadi,Casual Dining,Kerala,600,Delivery
Andhra Mess,Yes,No,3.3,6,Nagawara,Mess,"Biryani, Kebab",300,Delivery
Al Madina Roll House,Yes,No,3.6,16,Kalyan Nagar,Quick Bites,Biryani,150,Delivery
New Punjabi Veg Restaurant,Yes,No,2.9,112,Nagawara,Quick Bites,"North Indian, Chinese",400,Delivery
Rejoice The Taste Of Indore,Yes,Yes,3.0,160,Hennur,Casual Dining,"North Eastern, Street Food",650,Delivery
Brahmins' Thatte Idli,Yes,No,4.1,189,Kalyan Nagar,Quick Bites,South Indian,100,Delivery
Kijiji - Chal Yaha Khate Hai,Yes,No,3.7,306,Nagawara,Quick Bites,"North Indian, Gujarati, Street Food",400,Delivery
North Indian Bhukkads,Yes,Yes,4.0,202,Nagawara,Quick Bites,"North Indian, Biryani, Chinese, Street Food",450,Delivery
Chaitra Restaurant,Yes,No,3.7,35,Kalyan Nagar,Quick Bites,"North Indian, Chinese",700,Delivery
Burger King,Yes,No,3.5,408,Nagawara,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery
Srinidhi Veg Food Court,Yes,No,3.9,96,Kalyan Nagar,Quick Bites,"Chinese, North Indian, South Indian",300,Delivery
Cream Stone,Yes,No,4.2,432,Kalyan Nagar,Dessert Parlor,"Desserts, Beverages",500,Delivery
Kuttanad Restaurant,Yes,No,3.9,247,Nagawara,Quick Bites,"Kerala, North Indian",400,Delivery
BOX8- Desi Meals,Yes,No,4.1,343,Kammanahalli,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery
Ovenstory Pizza,Yes,No,3.9,162,Kalyan Nagar,Delivery,Pizza,750,Delivery
Behrouz Biryani,Yes,No,3.9,232,Kammanahalli,Delivery,Biryani,650,Delivery
Swad,Yes,No,2.6,210,Nagawara,Quick Bites,"North Indian, Chinese",400,Delivery
Kerala Mess,Yes,No,2.9,40,Nagawara,Mess,"Chinese, Kerala, North Indian",300,Delivery
Matsya Loka,Yes,No,3.6,153,Nagawara,Quick Bites,Seafood,400,Delivery
Biryani Palace,Yes,No,3.6,37,Nagawara,Casual Dining,"Biryani, North Indian, Chinese",750,Delivery
Jai Bhavani Dhaba,Yes,No,3.0,52,Nagawara,Dhaba,"North Indian, Chinese, Seafood",300,Delivery
Sukh Sagar,Yes,No,2.7,182,Kammanahalli,Casual Dining,"North Indian, South Indian, Chinese, Beverages",450,Delivery
Purnabramha Maharashtrian Restaurant,Yes,Yes,3.6,24,Kalyan Nagar,Casual Dining,Maharashtrian,850,Delivery
Kanti Sweets,Yes,No,3.4,4,Kalyan Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food",400,Delivery
Warm Oven,Yes,No,3.8,24,Kalyan Nagar,"Bakery, Dessert Parlor","Bakery, Desserts",500,Delivery
Hotel Zam Zam,Yes,No,3.2,30,Hennur,Quick Bites,"North Indian, Chinese",300,Delivery
New Kairali Restaurant,Yes,No,3.7,93,Kammanahalli,Quick Bites,"Kerala, South Indian",400,Delivery
Sanky's Burger House,Yes,No,4.3,332,Hennur,Quick Bites,"Burger, Fast Food",300,Delivery
De Grand Restaurant,Yes,No,3.8,257,Banaswadi,Quick Bites,"North Indian, Chinese",600,Delivery
Inchara Restaurant,Yes,No,3.4,182,Banaswadi,Casual Dining,"Chinese, North Indian, Hyderabadi, Biryani",500,Delivery
Roll N Roll,Yes,No,3.8,61,Nagawara,Kiosk,"Fast Food, Rolls",200,Delivery
Zamindar,Yes,Yes,4.4,347,Kalyan Nagar,Casual Dining,"Biryani, Chinese, Mughlai, Andhra",600,Delivery
Dunkin' Donuts,Yes,No,4.0,156,Nagawara,"Quick Bites, Dessert Parlor","Burger, Desserts, Fast Food",550,Delivery
Bombay Sandwich Company,Yes,No,3.7,41,Hennur,Delivery,"Sandwich, Beverages",400,Delivery
Balle Balle Dhaba,Yes,No,3.6,195,Kalyan Nagar,Quick Bites,"North Indian, Chinese",500,Delivery
Chickpet Donne Biriyani Mane,Yes,No,3.0,16,Kalyan Nagar,Quick Bites,"Biryani, Kebab",350,Delivery
Keto Kitchen,Yes,No,3.8,140,Kalyan Nagar,Casual Dining,"Healthy Food, Continental, North Indian",700,Delivery
Kabab Palace,Yes,No,3.4,7,Nagawara,Quick Bites,"North Indian, Chinese, Rolls",600,Delivery
Udupi Sri Krishna Cafe,Yes,No,3.7,15,Banaswadi,Quick Bites,"South Indian, North Indian",200,Delivery
Sri Sagar,Yes,No,3.7,27,Kammanahalli,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",300,Delivery
Connie's Restaurant & Steakhouse,Yes,Yes,4.3,1437,Kammanahalli,Casual Dining,"Steak, Continental, Burger, American, BBQ, European, Salad",1500,Delivery
Chai Point,Yes,No,3.8,38,Nagawara,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery
World In A Bowl,Yes,No,3.6,38,Hennur,Delivery,"Continental, North Indian, Desserts, Beverages",600,Delivery
The London Shakes,Yes,No,3.1,25,Banaswadi,Beverage Shop,"Beverages, Fast Food, Italian",400,Delivery
The Blue Bawarchi,Yes,No,3.6,34,Nagawara,Quick Bites,"Chinese, Oriya, North Indian, Bengali",300,Delivery
Taste Of Nawaabs,Yes,No,3.5,324,Banaswadi,Casual Dining,"North Indian, Mughlai",600,Delivery
Panda Boy,Yes,No,3.9,115,Kammanahalli,Casual Dining,Chinese,550,Delivery
Indiana Burgers,Yes,No,3.4,38,Kalyan Nagar,"Takeaway, Delivery",Burger,300,Delivery
Facebake,Yes,No,3.7,50,Rammurthy Nagar,Dessert Parlor,"Desserts, Bakery",300,Delivery
Keventers,Yes,No,3.7,34,Kalyan Nagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery
YumYumDilli,Yes,No,3.2,107,Hennur,Delivery,North Indian,500,Delivery
Sweet Truth,Yes,No,3.9,35,Kalyan Nagar,Delivery,"Bakery, Desserts",500,Delivery
New Biriyani Darbar,Yes,No,3.6,68,RT Nagar,Casual Dining,"Biryani, South Indian, North Indian, Chinese",450,Delivery
Cafe Pink Pajamas,Yes,Yes,4.1,577,Kalyan Nagar,Cafe,"Cafe, Italian",700,Delivery
Janatha Cafe,Yes,No,3.2,22,Hennur,Quick Bites,"South Indian, Kerala",400,Delivery
Currylicious,No,No,3.4,58,Nagawara,Quick Bites,"South Indian, Mangalorean, Kerala",500,Delivery
Nadeem's Kitchen,Yes,No,2.9,7,Hennur,"Takeaway, Delivery","Biryani, Kebab",500,Delivery
Wangs Kitchen,Yes,No,2.7,64,Nagawara,Food Court,Chinese,700,Delivery
Healthie,Yes,No,3.3,80,Hennur,Delivery,"Healthy Food, Beverages",600,Delivery
Firangi Bake,Yes,No,4.1,23,Kalyan Nagar,Delivery,"Mexican, Italian",600,Delivery
Pasta Factory,Yes,No,4.0,177,Nagawara,Casual Dining,"Continental, Italian, Burger, American",600,Delivery
Samovar,Yes,No,3.9,190,Kammanahalli,Casual Dining,"Kerala, South Indian",600,Delivery
Faasos,Yes,No,3.8,140,Kammanahalli,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery
Biryani Hub,Yes,No,3.2,87,Nagawara,Quick Bites,"North Indian, South Indian, Biryani",600,Delivery
Upahara Mandira,Yes,No,3.9,24,HBR Layout,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Big Chicken,Yes,No,3.9,110,Kammanahalli,Quick Bites,Fast Food,400,Delivery
Foodies Choice,Yes,No,3.7,48,Nagawara,"Takeaway, Delivery","Arabian, Chinese, Fast Food, Beverages",150,Delivery
Chickpet Donne Biriyani Mane,Yes,No,2.7,37,Nagawara,Quick Bites,"Biryani, South Indian, Kebab",150,Delivery
Crunch Pizzas,Yes,No,2.6,227,Banaswadi,Quick Bites,"Italian, Pizza",600,Delivery
Akshaya Family Restaurant,Yes,No,3.2,4,Banaswadi,Quick Bites,"South Indian, North Indian",150,Delivery
Dreamland Food Corner,Yes,No,3.7,42,Hennur,Quick Bites,"Fast Food, Desserts",400,Delivery
Home Food,Yes,No,3.4,13,Kammanahalli,Quick Bites,South Indian,300,Delivery
Cafe Zamorin,Yes,No,3.7,23,Hennur,Quick Bites,"Chinese, Kerala",300,Delivery
Doctor Juice,Yes,No,3.9,42,Kammanahalli,Beverage Shop,"Juices, Healthy Food",300,Delivery
JS Food Court,Yes,No,3.8,128,Kammanahalli,Quick Bites,"Fast Food, Juices",400,Delivery
Shandong,Yes,No,4.0,220,Hennur,Casual Dining,"Chinese, Momos",500,Delivery
The Chinese Table,Yes,No,3.0,13,Nagawara,Casual Dining,"Chinese, Thai, Pan Asian",400,Delivery
Food Magic Restaurant,Yes,No,3.8,88,Kalyan Nagar,Quick Bites,"Kerala, North Indian, Chinese, Arabian",400,Delivery
WOW! Momo,Yes,No,3.6,90,Nagawara,Quick Bites,"Tibetan, Momos",400,Delivery
Savoury Restaurant,Yes,No,3.7,370,Kammanahalli,Casual Dining,"Arabian, North Indian, Chinese, Beverages",800,Delivery
YumYumSouth,Yes,No,3.0,54,Hennur,Delivery,South Indian,600,Delivery
BIB - Breakfast in the Box,Yes,No,3.5,41,Kammanahalli,Delivery,"American, Sandwich",600,Delivery
One For The Road,Yes,Yes,4.5,755,Nagawara,Bar,"Continental, North Indian, Finger Food",1300,Delivery
Tamarind - Tamarind Hospitality,Yes,No,3.9,611,Banaswadi,Casual Dining,"Chinese, Continental, North Indian",750,Delivery
Cold Smith Ice Creams,Yes,No,4.1,24,Nagawara,Food Court,"Ice Cream, Desserts",450,Delivery
Dilli Dil Se..,Yes,No,3.8,103,Nagawara,Quick Bites,North Indian,400,Delivery
Despiwich Dragon's Kitchen,Yes,No,3.9,71,Banaswadi,Quick Bites,"Chinese, Fast Food",250,Delivery
Truffles,No,No,4.5,1181,Kalyan Nagar,"Cafe, Casual Dining","Cafe, American, Burger, Steak",900,Delivery
Casa De Goa,Yes,Yes,4.2,341,Kalyan Nagar,"Casual Dining, Pub","Goan, Mangalorean",1400,Delivery
Pizza Stop,Yes,No,3.8,151,Banaswadi,Quick Bites,"Pizza, Italian",500,Delivery
Thanco's Natural Ice Cream,Yes,No,3.8,109,Banaswadi,Dessert Parlor,"Ice Cream, Desserts",450,Delivery
InnerChef,Yes,No,3.1,78,Hennur,Delivery,"North Indian, Continental",500,Delivery
Gowdru Hotel,Yes,No,3.4,78,Banaswadi,Quick Bites,"South Indian, Biryani",400,Delivery
Calicut Restaurant,Yes,No,3.6,76,Kammanahalli,Quick Bites,"Kerala, South Indian, North Indian, Chinese",450,Delivery
Ibaco,Yes,No,3.9,84,Nagawara,Dessert Parlor,Desserts,300,Delivery
Kapoor's Cafe,No,No,4.1,470,Kalyan Nagar,Casual Dining,North Indian,800,Delivery
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.7,57,Hennur,Delivery,Continental,500,Delivery
RICE BAR,Yes,No,3.1,20,Kalyan Nagar,Delivery,"North Indian, Biryani",500,Delivery
La' Meze,Yes,No,3.6,31,Nagawara,Quick Bites,Fast Food,350,Delivery
Cafe Coffee Day,Yes,No,3.0,17,Nagawara,Cafe,Cafe,650,Delivery
Punjabi Chulha,Yes,No,2.9,18,Nagawara,Quick Bites,North Indian,400,Delivery
Shahi Hyderabadi Dum Biryani,Yes,No,3.1,150,Kalyan Nagar,Casual Dining,"North Indian, Biryani",500,Delivery
Alter Ego D'Deli,Yes,No,3.8,140,Kalyan Nagar,Cafe,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",650,Delivery
Purvanchal Tokri,Yes,No,3.7,23,Banaswadi,Casual Dining,"North Indian, Chinese",400,Delivery
Five Star Chicken,Yes,No,3.7,29,Hennur,Quick Bites,"Roast Chicken, Burger",300,Delivery
Brindavan Veg,Yes,No,3.7,20,HBR Layout,Quick Bites,"South Indian, North Indian, Chinese, Street Food",350,Delivery
Domino's Pizza,Yes,No,3.4,378,Kalyan Nagar,Quick Bites,"Pizza, Fast Food",400,Delivery
Anu Momos Chinese Kitchen,Yes,No,3.7,118,Kammanahalli,Quick Bites,"Chinese, Thai, Momos",450,Delivery
Ammi's Biryani,Yes,No,2.7,171,Kalyan Nagar,Casual Dining,"Biryani, North Indian",500,Delivery
Cafe Azzure,Yes,Yes,4.2,559,Kalyan Nagar,Cafe,"Cafe, Continental, Italian, Burger",1200,Delivery
PurpleBasil.in,Yes,No,4.1,77,Kammanahalli,"Takeaway, Delivery","Healthy Food, Desserts",500,Delivery
Wild Range Restaurant,Yes,No,3.8,44,Kammanahalli,Casual Dining,"North Indian, Chinese",600,Delivery
Marhaba,Yes,No,3.6,42,Nagawara,Casual Dining,"Arabian, Mediterranean, North Indian",600,Delivery
Avista Cafe Pizzeria,Yes,Yes,4.5,506,Hennur,Cafe,"Cafe, Italian",650,Delivery
Vijaya Gardenia,Yes,No,3.3,63,Banaswadi,Casual Dining,"North Indian, Chinese, Andhra",500,Delivery
Goli Vada Pav No. 1,Yes,No,3.7,91,Kalyan Nagar,Quick Bites,Street Food,200,Delivery
Chaai Resto,Yes,No,3.9,97,Kalyan Nagar,Cafe,"Cafe, Fast Food, Beverages",350,Delivery
Zaica Dine & Wine,Yes,Yes,4.0,694,Nagawara,Casual Dining,"North Indian, Mughlai",1200,Delivery
Cafe Bangalore,Yes,No,3.4,6,Hennur,"Takeaway, Delivery",Fast Food,300,Delivery
Crunch Pizzas,Yes,No,2.9,77,Banaswadi,Quick Bites,Pizza,400,Delivery
Juice Fresco,Yes,No,3.3,15,Nagawara,Beverage Shop,Beverages,150,Delivery
INDULGE by InnerChef,Yes,No,3.1,27,Hennur,Bakery,"Desserts, Bakery",400,Delivery
The Belgian Waffle Co.,Yes,No,3.8,32,Kalyan Nagar,Dessert Parlor,"Desserts, Beverages",350,Delivery
Sweet Moments Express,Yes,No,3.7,18,Kammanahalli,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Delivery
Frozen Bottle,Yes,No,3.9,55,Kalyan Nagar,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery
Mummy's Kitchen,Yes,No,3.5,9,Banaswadi,"Takeaway, Delivery",South Indian,300,Delivery
Hotel Little Imperial,Yes,No,3.7,91,Kalyan Nagar,Casual Dining,"North Indian, Chinese, South Indian",500,Delivery
Kloudish Kitchen,Yes,No,3.5,15,Hennur,Delivery,"North Indian, South Indian",250,Delivery
Paratha Singh,Yes,No,4.0,297,Kalyan Nagar,Quick Bites,North Indian,350,Delivery
Hotel New Karavali,Yes,No,3.4,8,Hennur,"Casual Dining, Bar","Chinese, Mangalorean, Seafood, North Indian",550,Delivery
Hi Seoul,Yes,No,4.1,200,Kalyan Nagar,Casual Dining,Korean,800,Delivery
My Little China,Yes,No,3.7,32,Hennur,Quick Bites,"Chinese, North Indian",300,Delivery
S K Ruchi,Yes,No,3.3,11,Banaswadi,Quick Bites,Chinese,300,Delivery
Sannidhi Grand,Yes,No,3.8,49,Kammanahalli,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery
Amigos Kitchen,Yes,No,3.7,64,Banaswadi,Quick Bites,"Chinese, North Indian, Mexican, Fast Food",400,Delivery
Sarah's,Yes,No,3.8,42,Rammurthy Nagar,"Takeaway, Delivery","Fast Food, Desserts",400,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,2.7,194,Nagawara,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",400,Delivery
The Chocolate Heaven,Yes,No,4.1,399,Kalyan Nagar,"Dessert Parlor, Cafe","Desserts, Cafe, Italian, Beverages",700,Delivery
Teapoy Mutiny,Yes,No,4.1,98,Hennur,Cafe,"Cafe, Continental, American, Beverages",500,Delivery
Sizzling Szechuan,Yes,No,3.9,224,Banaswadi,Casual Dining,"Chinese, Thai, Seafood",600,Delivery
The Bawarchi,Yes,No,2.6,254,Banaswadi,Casual Dining,"North Indian, Chinese",1050,Delivery
Leon Grill,Yes,No,4.2,386,Kalyan Nagar,Quick Bites,"Burger, Fast Food",500,Delivery
Twilight Global Restaurant,Yes,No,3.5,22,Kalyan Nagar,Quick Bites,"North Indian, Chinese",600,Delivery
Ginger Greens,No,Yes,3.9,300,Kalyan Nagar,Casual Dining,"Andhra, Chinese, North Indian",750,Delivery
Chef Baker's,Yes,No,2.9,36,Nagawara,Bakery,"Bakery, Fast Food, Pizza, Burger, Cafe",600,Delivery
The Chocolate Heaven - Cakes,Yes,No,3.9,64,Kalyan Nagar,"Dessert Parlor, Bakery","Desserts, Bakery, Beverages",600,Delivery
Navarang Fast Food,Yes,No,3.6,114,Kammanahalli,Quick Bites,"North Indian, Chinese, Kebab, Rolls",300,Delivery
Giselle Resto Cafe,Yes,Yes,4.1,840,Kammanahalli,Cafe,"Cafe, Italian, Pizza, Beverages, Desserts",800,Delivery
Empire Restaurant,Yes,No,4.0,3128,Kammanahalli,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery
Chetty's Corner,Yes,No,3.6,18,Kammanahalli,Quick Bites,"Fast Food, Burger",200,Delivery
McDonald's,Yes,No,4.0,91,Nagawara,Quick Bites,"Burger, Fast Food",500,Delivery
Desi Bites,Yes,No,3.7,145,Nagawara,Casual Dining,"Rajasthani, North Indian, Chinese",600,Delivery
The Local,Yes,Yes,4.2,1196,Kalyan Nagar,"Pub, Casual Dining","Finger Food, Continental, Italian, Salad",1400,Delivery
Eagles Pizza,Yes,No,3.8,22,Kalyan Nagar,Quick Bites,"Pizza, Italian",650,Delivery
Cafe Nukkad,Yes,No,4.0,89,Kalyan Nagar,Quick Bites,Fast Food,200,Delivery
Lassi Corner,Yes,No,2.9,28,Rammurthy Nagar,Beverage Shop,"Beverages, Desserts",200,Delivery
Yomama!!,Yes,Yes,3.6,104,Kammanahalli,Cafe,"Continental, Burger, Cafe, Steak",800,Delivery
Just Bake,Yes,No,2.9,19,Hennur,Bakery,"Bakery, Desserts",400,Delivery
Nihas Hyderabadi Biryani,Yes,No,3.2,17,Nagawara,Quick Bites,"Andhra, Chinese, North Indian, South Indian",300,Delivery
American Bites,Yes,No,3.0,7,Nagawara,Quick Bites,Fast Food,450,Delivery
Cream & Fudge,Yes,No,3.1,6,Nagawara,Dessert Parlor,"Ice Cream, Desserts",250,Delivery
Breezy Cow Bar,Yes,No,4.0,96,Kalyan Nagar,Beverage Shop,Beverages,400,Delivery
The Milkshake Theory,Yes,No,3.5,17,Hennur,Beverage Shop,"Beverages, Fast Food",400,Delivery
